Timestamp,Direction,Entry Price,Exit Price,Size,PnL,Source
2025-05-12 15:14:24.383672,SELL,104525.35,,0.001,,live_executor
2025-05-12 15:14:29.741536,SELL,104512.02,,0.001,,live_executor
2025-05-12 15:14:36.475991,SELL,104517.0,,0.001,,live_executor
2025-05-12 15:21:23.603361,SELL,104427.59,,0.001,,live_executor
2025-05-12 15:21:28.893938,SELL,104427.62,,0.001,,live_executor
2025-05-12 15:21:34.194137,SELL,104427.62,,0.001,,live_executor
2025-05-12 15:21:39.491888,SELL,104427.62,,0.001,,live_executor
2025-05-12 15:21:44.891348,SELL,104424.9,,0.001,,live_executor
2025-05-12 15:21:50.192557,SELL,104427.75,,0.001,,live_executor
2025-05-12 15:21:55.486995,SELL,104427.75,,0.001,,live_executor
2025-05-12 15:22:16.737011,SELL,104428.01,,0.001,,live_executor
2025-05-12 15:22:22.071191,SELL,104428.0,,0.001,,live_executor
2025-05-12 15:22:27.402367,SELL,104428.0,,0.001,,live_executor
2025-05-12 15:31:40.606992,SELL,104460.62,,0.42464,,live_executor
2025-05-12 15:31:53.970828,BUY,104464.69,,0.42464,,live_executor
2025-05-12 15:32:11.481495,SELL,104460.0,,0.42464,-1.9915616000009888,live_executor
2025-05-12 15:32:17.609907,BUY,104467.49,,0.42463,,live_executor
2025-05-12 15:32:23.799431,SELL,104457.25,,0.42463,-4.348211200002225,live_executor
2025-05-12 15:32:47.128461,BUY,104477.18,,0.42455,,live_executor
2025-05-12 15:32:59.016984,SELL,104457.25,,0.42455,-8.461281499997034,live_executor
2025-05-12 15:33:05.153321,BUY,104498.0,,0.42424,,live_executor
2025-05-12 15:33:22.945884,BUY,104498.27,,0.001,,live_executor
2025-05-12 15:33:28.454238,SELL,104498.27,104456.68,0.001,-0.04159000000001106,live_executor
2025-05-12 15:33:34.049479,SELL,104434.37,,0.001,,live_executor
2025-05-12 15:34:51.473270,SELL,104325.7,,0.001,,live_executor
2025-05-12 15:34:57.221048,SELL,104303.28,,0.001,,live_executor
2025-05-12 15:35:02.751734,SELL,104303.23,,0.001,,live_executor
2025-05-12 15:35:08.294080,SELL,104300.38,,0.001,,live_executor
2025-05-12 15:35:13.819213,SELL,104300.11,,0.001,,live_executor
2025-05-14 11:50:55.843612,SELL,0.24435,,0.001,,live_executor
2025-05-14 11:51:01.384465,BUY,0.2457,,0.001,,live_executor
2025-05-14 11:51:06.707258,BUY,0.2457,,0.001,,live_executor
2025-05-14 11:51:12.028821,BUY,0.2457,,0.001,,live_executor
2025-05-14 11:51:17.806590,SELL,0.2457,0.24433,0.001,-1.3700000000000102e-06,live_executor
2025-05-14 11:53:09.936375,SELL,0.24437,,0.001,,live_executor
2025-05-14 11:53:15.474689,SELL,0.24437,,0.001,,live_executor
2025-05-14 11:53:21.010432,SELL,0.24437,,0.001,,live_executor
2025-05-14 11:53:43.668531,SELL,0.24397,,0.001,,live_executor
2025-05-14 11:53:49.210365,SELL,0.24399,,0.001,,live_executor
2025-05-14 11:53:54.749009,SELL,0.24399,,0.001,,live_executor
2025-05-14 11:54:00.550270,SELL,0.24399,,0.001,,live_executor
2025-05-14 11:54:06.326073,SELL,0.24399,,0.001,,live_executor
2025-05-14 11:54:41.138877,SELL,0.24403,,0.001,,live_executor
2025-05-14 11:54:46.485651,SELL,0.24399,,0.001,,live_executor
2025-05-14 11:54:52.021462,SELL,0.24398,,0.001,,live_executor
2025-05-14 11:54:57.336254,SELL,0.24395,,0.001,,live_executor
2025-05-14 11:55:02.645426,SELL,0.24396,,0.001,,live_executor
2025-05-14 11:55:13.367449,SELL,0.244,,0.001,,live_executor
2025-05-14 11:55:18.912071,SELL,0.24402,,0.001,,live_executor
2025-05-14 11:55:24.223106,SELL,0.24407,,0.001,,live_executor
2025-05-14 11:55:29.757541,SELL,0.24407,,0.001,,live_executor
2025-05-14 11:55:35.310524,SELL,0.24407,,0.001,,live_executor
2025-05-14 11:55:46.845817,SELL,0.24402,,0.001,,live_executor
2025-05-14 11:55:52.198822,SELL,0.24402,,0.001,,live_executor
2025-05-14 11:55:57.533017,SELL,0.24414,,0.001,,live_executor
2025-05-14 11:56:03.298957,SELL,0.24414,,0.001,,live_executor
2025-05-14 11:56:08.856922,SELL,0.24414,,0.001,,live_executor
2025-05-14 12:32:04.072181,SELL,0.24182,,0.001,,live_executor
2025-05-14 12:32:09.624831,SELL,0.24226,,0.001,,live_executor
2025-05-14 12:32:15.386352,SELL,0.24226,,0.001,,live_executor
2025-05-14 12:32:20.942697,SELL,0.24114,,0.001,,live_executor
2025-05-14 12:32:26.478325,SELL,0.24116,,0.001,,live_executor
